ASSET,TAGS1
AERO,CONSUMER CYCLICALS
AGRIC,CONSUMER NON CYCLICALS
AUTOS,CONSUMER CYCLICALS
BANKS,FINANCIALS
BEER,CONSUMER NON CYCLICALS
BLDMT,INDUSTRIALS
BOOKS,TELECOMMUNICATIONS SERVICES
BOXES,INDUSTRIALS
BUSSV,TECHNOLOGY
CHEMS,BASIC MATERIALS
CHIPS,TECHNOLOGY
CLTHS,CONSUMER CYCLICALS
CNSTR,INDUSTRIALS
COAL,ENERGY
DRUGS,HEALTHCARE
ELCEQ,INDUSTRIALS
FABPR,INDUSTRIALS
FIN,FINANCIALS
FOOD,CONSUMER NON CYCLICALS
FUN,TELECOMMUNICATIONS SERVICES
GOLDM,BASIC MATERIALS
GUNS,INDUSTRIALS
HARDW,TECHNOLOGY
HLTH,HEALTHCARE
HSHLD,CONSUMER CYCLICALS
INSUR,FINANCIALS
LABEQ,HEALTHCARE
MACH,INDUSTRIALS
MEALS,CONSUMER CYCLICALS
MEDEQ,HEALTHCARE
MINES,BASIC MATERIALS
OIL,ENERGY
OTHER,UTILITIES
PAPER,INDUSTRIALS
PERSV,TECHNOLOGY
RLEST,FINANCIALS
RTAIL,CONSUMER CYCLICALS
RUBBR,BASIC MATERIALS
SHIPS,INDUSTRIALS
SMOKE,CONSUMER NON CYCLICALS
SODA,CONSUMER NON CYCLICALS
SOFTW,TECHNOLOGY
STEEL,INDUSTRIALS
TELCM,TELECOMMUNICATIONS SERVICES
TOYS,TELECOMMUNICATIONS SERVICES
TRANS,CONSUMER CYCLICALS
TXTLS,BASIC MATERIALS
UTIL,UTILITIES
WHLSL,CONSUMER CYCLICALS
