ASSET,TAGS1,TAGS2
A,HEALTHCARE,
AAL,INDUSTRIALS,
AAP,CONSUMER CYCLICALS,
AAPL,TECHNOLOGY,
ABBV,HEALTHCARE,
ABMD,HEALTHCARE,
ABNB,TECHNOLOGY,
ABT,HEALTHCARE,
ACGL,FINANCIALS,
ACN,TECHNOLOGY,
ADBE,TECHNOLOGY,
ADI,TECHNOLOGY,
ADM,CONSUMER NON CYCLICALS,
ADP,TECHNOLOGY,
ADSK,TECHNOLOGY,
AEE,UTILITIES,
AEP,UTILITIES,
AES,UTILITIES,
AFL,FINANCIALS,
AIG,FINANCIALS,
AIV,REAL ESTATE,
AIZ,FINANCIALS,
AJG,FINANCIALS,
AKAM,TECHNOLOGY,
ALB,BASIC MATERIALS,
ALGN,HEALTHCARE,
ALK,INDUSTRIALS,
ALL,FINANCIALS,
ALLE,INDUSTRIALS,
ALXN,HEALTHCARE,
AMAT,TECHNOLOGY,
AMCR,BASIC MATERIALS,
AMD,TECHNOLOGY,
AME,INDUSTRIALS,
AMG,FINANCIALS,
AMGN,HEALTHCARE,
AMP,FINANCIALS,
AMT,REAL ESTATE,
AMZN,CONSUMER CYCLICALS,
ANET,TECHNOLOGY,
ANSS,TECHNOLOGY,
AON,FINANCIALS,
AOS,INDUSTRIALS,
APA,ENERGY,
APC,ENERGY,
APD,BASIC MATERIALS,
APH,TECHNOLOGY,
APTV,CONSUMER CYCLICALS,
ARE,REAL ESTATE,
ATO,UTILITIES,
ATVI,TELECOMMUNICATIONS SERVICES,
AVB,REAL ESTATE,
AVGO,TECHNOLOGY,
AVY,BASIC MATERIALS,
AWK,UTILITIES,
AXON,TECHNOLOGY,
AXP,FINANCIALS,
AZO,CONSUMER CYCLICALS,
BA,INDUSTRIALS,
BAC,FINANCIALS,
BALL,BASIC MATERIALS,
BAX,HEALTHCARE,
BBWI,CONSUMER CYCLICALS,
BBY,CONSUMER CYCLICALS,
BDX,HEALTHCARE,
BEN,FINANCIALS,
BFB,CONSUMER NON CYCLICALS,
BFH,INDUSTRIALS,
BG,CONSUMER NON CYCLICALS,
BHF,FINANCIALS,
BIIB,HEALTHCARE,
BIO,HEALTHCARE,
BK,FINANCIALS,
BKNG,CONSUMER CYCLICALS,
BKR,ENERGY,
BLDR,INDUSTRIALS,
BLK,FINANCIALS,
BMS,BASIC MATERIALS,
BMY,HEALTHCARE,
BR,INDUSTRIALS,
BRKB,FINANCIALS,
BSX,HEALTHCARE,
BWA,CONSUMER CYCLICALS,
BX,FINANCIALS,
BXP,REAL ESTATE,
C,FINANCIALS,
CAG,CONSUMER NON CYCLICALS,
CAH,HEALTHCARE,
CARR,INDUSTRIALS,
CAT,INDUSTRIALS,
CB,FINANCIALS,
CBOE,FINANCIALS,
CBRE,REAL ESTATE,
CCEP,CONSUMER NON CYCLICALS,
CCI,REAL ESTATE,
CCL,CONSUMER CYCLICALS,
CDNS,TECHNOLOGY,
CDW,TECHNOLOGY,
CE,BASIC MATERIALS,
CEG,UTILITIES,
CELG,HEALTHCARE,
CERN,HEALTHCARE,
CF,BASIC MATERIALS,
CFG,FINANCIALS,
CHD,CONSUMER NON CYCLICALS,
CHRW,INDUSTRIALS,
CHTR,TELECOMMUNICATIONS SERVICES,
CI,HEALTHCARE,
CINF,FINANCIALS,
CL,CONSUMER NON CYCLICALS,
CLX,CONSUMER NON CYCLICALS,
CMA,FINANCIALS,
CMCSA,TELECOMMUNICATIONS SERVICES,
CME,FINANCIALS,
CMG,CONSUMER CYCLICALS,
CMI,INDUSTRIALS,
CMS,UTILITIES,
CNC,HEALTHCARE,
CNP,UTILITIES,
COF,FINANCIALS,
COO,HEALTHCARE,
COP,ENERGY,
COR,HEALTHCARE,
COST,CONSUMER NON CYCLICALS,
COTY,CONSUMER NON CYCLICALS,
CPB,CONSUMER NON CYCLICALS,
CPRI,CONSUMER CYCLICALS,
CPRT,INDUSTRIALS,
CPT,REAL ESTATE,
CRL,HEALTHCARE,
CRM,TECHNOLOGY,
CSCO,TECHNOLOGY,
CSGP,INDUSTRIALS,
CSX,INDUSTRIALS,
CTAS,INDUSTRIALS,
CTLT,HEALTHCARE,
CTRA,ENERGY,
CTSH,TECHNOLOGY,
CTVA,BASIC MATERIALS,
CVS,HEALTHCARE,
CVX,ENERGY,
CXO,ENERGY,
CZR,CONSUMER CYCLICALS,
D,UTILITIES,
DAL,INDUSTRIALS,
DD,BASIC MATERIALS,
DE,INDUSTRIALS,
DFS,FINANCIALS,
DG,CONSUMER CYCLICALS,
DGX,HEALTHCARE,
DHI,CONSUMER CYCLICALS,
DHR,HEALTHCARE,
DINO,ENERGY,
DIS,TELECOMMUNICATIONS SERVICES,
DISCB,TELECOMMUNICATIONS SERVICES,
DISCK,TELECOMMUNICATIONS SERVICES,
DISH,TELECOMMUNICATIONS SERVICES,
DLPH,CONSUMER CYCLICALS,
DLR,REAL ESTATE,
DLTR,CONSUMER CYCLICALS,
DOV,INDUSTRIALS,
DOW,BASIC MATERIALS,
DPZ,CONSUMER CYCLICALS,
DRE,REAL ESTATE,
DRI,CONSUMER CYCLICALS,
DTE,UTILITIES,
DUK,UTILITIES,
DVA,HEALTHCARE,
DVN,ENERGY,
DXC,TECHNOLOGY,
DXCM,HEALTHCARE,
EA,TELECOMMUNICATIONS SERVICES,
EBAY,CONSUMER CYCLICALS,
ECL,BASIC MATERIALS,
ED,UTILITIES,
EFX,INDUSTRIALS,
EG,FINANCIALS,
EIX,UTILITIES,
EL,CONSUMER NON CYCLICALS,
ELV,HEALTHCARE,
EMN,BASIC MATERIALS,
EMR,INDUSTRIALS,
ENPH,TECHNOLOGY,
EOG,ENERGY,
EPAM,TECHNOLOGY,
EQIX,REAL ESTATE,
EQR,REAL ESTATE,
EQT,ENERGY,
ES,UTILITIES,
ESS,REAL ESTATE,
ETFC,FINANCIALS,
ETN,INDUSTRIALS,
ETR,UTILITIES,
ETSY,CONSUMER CYCLICALS,
EVRG,UTILITIES,
EW,HEALTHCARE,
EXC,UTILITIES,
EXPD,INDUSTRIALS,
EXPE,CONSUMER CYCLICALS,
EXR,REAL ESTATE,
F,CONSUMER CYCLICALS,
FANG,ENERGY,
FAST,INDUSTRIALS,
FBIN,CONSUMER CYCLICALS,
FCX,BASIC MATERIALS,
FDS,FINANCIALS,
FDX,INDUSTRIALS,
FE,UTILITIES,
FFIV,TECHNOLOGY,
FI,TECHNOLOGY,
FICO,TECHNOLOGY,
FIS,TECHNOLOGY,
FITB,FINANCIALS,
FL,CONSUMER CYCLICALS,
FLIR,TECHNOLOGY,
FLR,INDUSTRIALS,
FLS,INDUSTRIALS,
FLT,TECHNOLOGY,
FMC,BASIC MATERIALS,
FOX,TELECOMMUNICATIONS SERVICES,
FOXA,TELECOMMUNICATIONS SERVICES,
FRC,FINANCIALS,
FRT,REAL ESTATE,
FSLR,TECHNOLOGY,
FTI,ENERGY,
FTNT,TECHNOLOGY,
FTV,INDUSTRIALS,
GD,INDUSTRIALS,
GE,INDUSTRIALS,
GEHC,HEALTHCARE,
GEN,TECHNOLOGY,
GHC,CONSUMER CYCLICALS,
GILD,HEALTHCARE,
GIS,CONSUMER NON CYCLICALS,
GL,FINANCIALS,
GLW,TECHNOLOGY,
GM,CONSUMER CYCLICALS,
GNRC,INDUSTRIALS,
GOOG,TELECOMMUNICATIONS SERVICES,
GOOGL,TELECOMMUNICATIONS SERVICES,
GPC,CONSUMER CYCLICALS,
GPN,TECHNOLOGY,
GPS,CONSUMER CYCLICALS,
GRMN,INDUSTRIALS,
GS,FINANCIALS,
GT,CONSUMER CYCLICALS,
GWW,INDUSTRIALS,
HAL,ENERGY,
HAS,CONSUMER CYCLICALS,
HBAN,FINANCIALS,
HBI,CONSUMER CYCLICALS,
HCA,HEALTHCARE,
HD,CONSUMER CYCLICALS,
HES,ENERGY,
HIG,FINANCIALS,
HII,INDUSTRIALS,
HLT,CONSUMER CYCLICALS,
HOG,CONSUMER CYCLICALS,
HOLX,HEALTHCARE,
HON,INDUSTRIALS,
HP,ENERGY,
HPE,TECHNOLOGY,
HPQ,TECHNOLOGY,
HRB,CONSUMER CYCLICALS,
HRL,CONSUMER NON CYCLICALS,
HSIC,HEALTHCARE,
HST,REAL ESTATE,
HSY,CONSUMER NON CYCLICALS,
HUM,HEALTHCARE,
HWM,INDUSTRIALS,
IBM,TECHNOLOGY,
ICE,FINANCIALS,
IDXX,HEALTHCARE,
IEX,INDUSTRIALS,
IFF,BASIC MATERIALS,
ILMN,HEALTHCARE,
INCY,HEALTHCARE,
INFO,INDUSTRIALS,
INTC,TECHNOLOGY,
INTU,TECHNOLOGY,
INVH,REAL ESTATE,
